date,experiment_id,variant,campaign_id,impressions,clicks,cost,paid_transactions
2026-08-01,EXP001,Control,CAMP_A,189570,8310,7811.7,299.0
2026-08-01,EXP001,Treatment,CAMP_B,199108,8401,6349.69,282.0
2026-08-02,EXP001,Control,CAMP_A,186917,8735,7675.06,330.0
2026-08-02,EXP001,Treatment,CAMP_B,172204,9215,8498.29,383.0
2026-08-03,EXP001,Control,CAMP_A,185990,9766,8959.34,397.0
2026-08-03,EXP001,Treatment,CAMP_B,172110,8859,6939.16,357.0
2026-08-04,EXP001,Control,CAMP_A,198176,9472,8195.28,421.0
2026-08-04,EXP001,Treatment,CAMP_B,174786,9594,8132.24,340.0
2026-08-05,EXP001,Control,CAMP_A,178575,8320,7675.9,296.0
2026-08-05,EXP001,Treatment,CAMP_B,190481,9838,8799.75,376.0
2026-08-06,EXP001,Control,CAMP_A,217124,10068,8447.26,379.0
2026-08-06,EXP001,Treatment,CAMP_B,172793,9065,8614.63,410.0
2026-08-07,EXP001,Control,CAMP_A,183290,8181,6659.67,321.0
2026-08-07,EXP001,Treatment,CAMP_B,194758,10316,9320.01,356.0
2026-08-08,EXP001,Control,CAMP_A,175017,8563,7615.37,359.0
2026-08-08,EXP001,Treatment,CAMP_B,188280,10070,8840.33,387.0
2026-08-09,EXP001,Control,CAMP_A,195183,9421,8508.38,359.0
2026-08-09,EXP001,Treatment,CAMP_B,194469,8589,7166.89,323.0
2026-08-10,EXP001,Control,CAMP_A,177944,8086,6937.7,244.0
2026-08-10,EXP001,Treatment,CAMP_B,207424,9652,9048.39,363.0
2026-08-11,EXP001,Control,CAMP_A,159756,7454,6656.57,269.0
2026-08-11,EXP001,Treatment,CAMP_B,193793,10240,9456.31,401.0
2026-08-12,EXP001,Control,CAMP_A,179769,8296,7869.9,355.0
2026-08-12,EXP001,Treatment,CAMP_B,182130,8177,6290.87,344.0
2026-08-13,EXP001,Control,CAMP_A,171208,8558,7628.55,254.0
2026-08-13,EXP001,Treatment,CAMP_B,195357,9433,8232.02,358.0
2026-08-14,EXP001,Control,CAMP_A,194383,9089,8330.45,312.0
2026-08-14,EXP001,Treatment,CAMP_B,175071,8499,7049.59,353.0
2026-08-15,EXP001,Control,CAMP_A,167062,8344,7029.38,287.0
2026-08-15,EXP001,Treatment,CAMP_B,185187,9615,8612.37,413.0
2026-08-16,EXP001,Control,CAMP_A,194980,9282,7853.84,338.0
2026-08-16,EXP001,Treatment,CAMP_B,183804,7949,5915.89,311.0
2026-08-17,EXP001,Control,CAMP_A,165159,7268,6628.28,298.0
2026-08-17,EXP001,Treatment,CAMP_B,171417,8311,8011.29,337.0
2026-08-18,EXP001,Control,CAMP_A,179656,9153,7371.01,390.0
2026-08-18,EXP001,Treatment,CAMP_B,181918,8404,6999.5,351.0
2026-08-19,EXP001,Control,CAMP_A,197604,8119,7426.89,328.0
2026-08-19,EXP001,Treatment,CAMP_B,188566,8980,6683.95,333.0
2026-08-20,EXP001,Control,CAMP_A,186081,8537,7671.47,317.0
2026-08-20,EXP001,Treatment,CAMP_B,185327,10453,8789.42,392.0
2026-08-21,EXP001,Control,CAMP_A,169647,8264,7417.76,290.0
2026-08-21,EXP001,Treatment,CAMP_B,205387,10955,9734.06,424.0
2026-08-22,EXP001,Control,CAMP_A,206949,8949,7417.11,390.0
2026-08-22,EXP001,Treatment,CAMP_B,171101,8288,6214.88,381.0
2026-08-23,EXP001,Control,CAMP_A,194527,9164,6986.04,354.0
2026-08-23,EXP001,Treatment,CAMP_B,169766,8701,8066.26,305.0
2026-08-24,EXP001,Control,CAMP_A,214950,12822,11708.44,488.0
2026-08-24,EXP001,Treatment,CAMP_B,170156,7056,6219.28,313.0
2026-08-25,EXP001,Control,CAMP_A,172805,8007,6654.08,237.0
2026-08-25,EXP001,Treatment,CAMP_B,182888,9924,8659.32,463.0
2026-08-26,EXP001,Control,CAMP_A,182620,8009,5974.92,290.0
2026-08-26,EXP001,Treatment,CAMP_B,177705,8847,8859.69,304.0
2026-08-27,EXP001,Control,CAMP_A,186954,9708,8155.27,361.0
2026-08-27,EXP001,Treatment,CAMP_B,167225,7715,6187.29,351.0
2026-08-28,EXP001,Control,CAMP_A,216927,9699,9185.72,373.0
2026-08-28,EXP001,Treatment,CAMP_B,171456,9211,8205.12,334.0
