transaction_id,experiment_id,variant,click_id,click_date,transaction_date,booking_value,cancelled
TX000001,EXP001,Control,CLK000033,2026-08-01,2026-08-08,428.67,0
TX000002,EXP001,Control,CLK000055,2026-08-01,2026-08-05,256.2,0
TX000003,EXP001,Control,CLK000067,2026-08-01,2026-08-09,375.5,false
TX000004,EXP001,Control,CLK000098,2026-08-01,2026-08-06,414.35,false
TX000005,EXP001,Control,CLK000098,2026-08-01,2026-08-03,712.06,false
TX000006,EXP001,Control,CLK000109,2026-08-01,2026-08-07,741.19,false
TX000007,EXP001,Control,CLK000223,2026-08-01,2026-08-01,291.63,0
TX000008,EXP001,Control,CLK000243,2026-08-01,2026-08-05,1826.24,0
TX000009,EXP001,Control,CLK000250,2026-08-01,2026-08-01,341.25,false
TX000010,EXP001,Control,CLK000251,2026-08-01,2026-08-08,297.75,0
TX000011,EXP001,Control,CLK000263,2026-08-01,2026-08-02,1128.97,0
TX000012,EXP001,Control,CLK000279,2026-08-01,2026-08-11,1309.08,false
TX000013,EXP001,Control,CLK000313,2026-08-01,2026-08-11,910.78,false
TX000014,EXP001,Control,CLK000347,2026-08-01,2026-08-07,575.32,false
TX000015,EXP001,Control,CLK000363,2026-08-01,2026-08-09,1499.09,0
TX000016,EXP001,Control,CLK000418,2026-08-01,2026-08-09,288.45,false
TX000017,EXP001,Control,CLK000423,2026-08-01,2026-08-03,340.45,false
TX000018,EXP001,Control,CLK000448,2026-08-01,2026-08-06,362.66,0
TX000019,EXP001,Control,CLK000461,2026-08-01,2026-08-02,362.95,1
TX000020,EXP001,Control,CLK000475,2026-08-01,2026-08-03,1270.1,false
TX000021,EXP001,Control,CLK000478,2026-08-01,2026-08-03,659.52,true
TX000022,EXP001,Control,CLK000511,2026-08-01,2026-08-09,231.96,0
TX000023,EXP001,Control,CLK000551,2026-08-01,2026-08-03,813.08,false
TX000024,EXP001,Control,CLK000554,2026-08-01,2026-08-11,743.03,false
TX000025,EXP001,Control,CLK000569,2026-08-01,2026-08-06,465.45,0
TX000026,EXP001,Control,CLK000572,2026-08-01,2026-08-02,754.44,false
TX000027,EXP001,Control,CLK000594,2026-08-01,2026-08-08,594.18,false
TX000028,EXP001,Control,CLK000596,2026-08-01,2026-08-01,695.94,1
TX000029,EXP001,Control,CLK000603,2026-08-01,2026-08-06,,0
TX000030,EXP001,Control,CLK000623,2026-08-01,2026-08-03,801.91,0
TX000031,EXP001,Control,CLK000625,2026-08-01,2026-08-02,1275.55,false
TX000032,EXP001,Control,CLK000639,2026-08-01,2026-08-02,790.96,0
TX000033,EXP001,Control,CLK000640,2026-08-01,2026-08-01,684.12,false
TX000034,EXP001,Control,CLK000654,2026-08-01,2026-08-05,238.54,false
TX000035,EXP001,Control,CLK000669,2026-08-01,2026-08-02,784.24,0
TX000036,EXP001,Control,CLK000700,2026-08-01,2026-08-09,709.58,false
TX000037,EXP001,Control,CLK000800,2026-08-01,2026-08-02,170.45,0
TX000038,EXP001,Control,CLK000826,2026-08-01,2026-08-02,425.34,false
TX000039,EXP001,Control,CLK000847,2026-08-01,2026-08-05,456.47,1
TX000040,EXP001,Control,CLK000873,2026-08-01,2026-08-03,1872.63,0
TX000041,EXP001,Control,CLK000897,2026-08-01,2026-08-04,1818.29,0
TX000042,EXP001,Control,CLK000929,2026-08-01,2026-08-02,301.94,0
TX000043,EXP001,Control,CLK000986,2026-08-01,2026-08-02,480.94,1
TX000044,EXP001,Control,CLK000989,2026-08-01,2026-08-07,330.03,false
TX000045,EXP001,Control,CLK001033,2026-08-01,2026-08-07,640.81,0
TX000046,EXP001,Control,CLK001049,2026-08-01,2026-08-05,1350.45,0
TX000047,EXP001,Control,CLK001089,2026-08-01,2026-08-01,750.02,false
TX000048,EXP001,Control,CLK001142,2026-08-01,2026-08-03,338.87,false
TX000049,EXP001,Control,CLK001142,2026-08-01,2026-08-07,859.45,false
